DwellingType,ZoneType,UtilitiesType,BuildingType,HouseStyleType,OverallQuality,OverallConditions,YearBuilt,YearRemodel,RoofStyleType,RoofMaterial,ExteriorMaterial,ExteriorQuality,ExteriorConditions,FoundationMaterial,TotalBasementArea,HeatingType,HeatingQuality,HasAirConditioning,FirstFloorArea,SecondFloorArea,NumberOfBathrooms,NumberOfBedrooms,NumberOfKitchen,KitchenQuality,TotalNumberOfRooms,GarageType,GarageYearBuilt,GarageNumberOfCars,GarageArea,GarageQuality,GarageCondition,PoolArea,PoolQuality,FenceQuality,Label,Price,MoSold,YrSold
60,6,1,1,4,4,3,2003,2003,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,856,2,1,1,856,854,2,3,1,2,8,2,2003,2,548,2,2,0,4,4,13750,137500,2,2008
20,6,1,1,1,3,4,1976,1976,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,106B95FF-4D5B-4FCE-9139-CBD840B33D12,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1262,2,1,1,1262,0,2,3,1,3,6,2,1976,2,460,2,2,0,4,4,8100,81000,5,2007
60,6,1,1,4,4,3,2001,2002,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,920,2,1,1,920,866,2,3,1,2,6,2,2001,2,608,2,2,0,4,4,6840,68400,9,2008
70,6,1,1,4,4,3,1915,1970,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,3,3,990666D4-DC69-4DB5-9525-8EA305C3904A,756,2,2,1,961,756,1,3,1,2,7,6,1998,3,642,2,2,0,4,4,10277.6,102776,2,2006
60,6,1,1,4,4,3,2000,2000,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1145,2,1,1,1145,1053,2,4,1,2,9,2,2000,3,836,2,2,0,4,4,10800,108000,12,2008
50,6,1,1,2,3,3,1993,1995,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,3,3,648E862D-3B88-4B9F-A40D-B8B8406BF98B,796,2,1,1,796,566,1,1,1,3,5,2,1993,2,480,2,2,0,4,1,17600,176000,10,2009
20,6,1,1,1,4,3,2004,2005,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1686,2,1,1,1694,0,2,3,1,2,7,2,2004,2,636,2,2,0,4,4,18200,182000,8,2007
60,6,1,1,4,4,3,1973,1973,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,A746B3DE-1205-46A8-9BE6-1D58B0367728,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1107,2,1,1,1107,983,2,3,1,3,7,2,1973,2,484,2,2,0,4,4,18500,185000,11,2009
50,8,1,1,2,4,3,1931,1950,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,277ED534-9DD8-4468-B15F-989F6EEBB6D5,3,3,990666D4-DC69-4DB5-9525-8EA305C3904A,952,2,2,1,1022,752,2,2,2,3,8,6,1931,2,468,2,2,0,4,4,18500,185000,4,2008
190,6,1,2,3,3,3,1939,1950,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,106B95FF-4D5B-4FCE-9139-CBD840B33D12,3,3,990666D4-DC69-4DB5-9525-8EA305C3904A,991,2,1,1,1077,0,1,2,2,3,5,2,1939,1,205,1,2,0,4,4,18775,187750,1,2008
20,6,1,1,1,3,3,1965,1965,4,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,A746B3DE-1205-46A8-9BE6-1D58B0367728,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1040,2,1,1,1040,0,1,3,1,3,5,6,1965,1,384,2,2,0,4,4,20830,208300,2,2008
60,6,1,1,4,5,3,2005,2006,4,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,0B095DC6-F3B5-4983-BEF6-32A383A62849,1,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1175,2,1,1,1182,1142,3,4,1,1,11,4,2005,3,736,2,2,0,4,4,22200,222000,7,2006
20,6,1,1,1,3,3,1962,1962,4,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,A746B3DE-1205-46A8-9BE6-1D58B0367728,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,912,2,3,1,912,0,1,2,1,3,4,6,1962,1,352,2,2,0,4,4,22945.6,229456,9,2008
20,6,1,1,1,4,3,2006,2007,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1494,2,1,1,1494,0,2,3,1,2,7,2,2006,3,840,2,2,0,4,4,23260,232600,8,2007
20,6,1,1,1,3,3,1960,1960,4,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,106B95FF-4D5B-4FCE-9139-CBD840B33D12,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1253,2,3,1,1253,0,1,2,1,3,5,2,1960,1,352,2,2,0,4,2,24970,249700,5,2008
45,8,1,1,3,4,4,1929,2001,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,3,3,990666D4-DC69-4DB5-9525-8EA305C3904A,832,2,1,1,854,0,1,2,1,3,5,6,1991,2,576,2,2,0,4,1,25058,250580,7,2007
20,6,1,1,1,3,4,1970,1970,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1004,2,1,1,1004,0,1,2,1,3,5,2,1970,2,480,2,2,0,4,4,26250,262500,3,2010
90,6,1,3,1,2,3,1967,1967,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,106B95FF-4D5B-4FCE-9139-CBD840B33D12,3,3,98DA1235-ED4C-4CC3-8E11-A7E5421EC8B0,0,2,3,1,1296,0,2,2,2,3,6,5,1967,2,516,2,2,0,4,4,37087.8,370878,10,2006
20,6,1,1,1,3,3,2004,2004,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,3,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1114,2,1,1,1114,0,1,3,1,2,6,6,2004,2,576,2,2,0,4,4,18650,186500,6,2008
20,6,1,1,1,3,3,1958,1965,4,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,277ED534-9DD8-4468-B15F-989F6EEBB6D5,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1029,2,3,1,1339,0,1,3,1,3,6,2,1958,1,294,2,2,0,4,1,19700,197000,5,2009
60,6,1,1,4,4,3,2005,2006,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1158,2,1,1,1158,1218,3,4,1,2,9,4,2005,3,853,2,2,0,4,4,20595,205950,11,2006
45,8,1,1,3,4,4,1930,1950,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,3,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,637,2,1,1,1108,0,1,3,1,2,6,2,1930,1,280,2,2,0,4,1,20750,207500,6,2007
20,6,1,1,1,4,3,2002,2002,4,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1777,2,1,1,1795,0,2,3,1,2,7,2,2002,2,534,2,2,0,4,4,21000,210000,9,2008
120,8,1,4,1,3,4,1976,1976,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,AAE85B7F-8DAF-4D7F-8974-2B9F23B452AF,3,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1040,2,3,1,1060,0,1,3,1,3,6,2,1976,2,572,2,2,0,4,4,21520,215200,6,2007
